Interessado,UF,Tipo_de_interessado,Tipo_de_operação,Finalidade,Tipo_de_credor,Credor,Moeda,Valor,Número_do_Processo/PVL,Código_IBGE,Status,Data,Analisado_por,Regiao
Abadia dos Dourados,MG,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Caixa Econômica Federal,Real,300000.0,17944.000953/2009-67,3100104.0,Deferido,2009-11-20,STN,Sudeste
Abadia dos Dourados,MG,Município,Operação Contratual Interna,Caminho da Escola 2009 A,Instituição Financeira Nacional,Caixa Econômica Federal,Real,187200.0,17944.001037/2009-44,3100104.0,Deferido,2009-11-20,STN,Sudeste
Abadia dos Dourados,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1000000.0,17944.001324/2013-31,3100104.0,Deferido,2013-11-06,STN,Sudeste
Abaeté,MG,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,950000.0,17944.001370/2013-30,3100203.0,Deferido,2013-11-12,STN,Sudeste
Abaeté,MG,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Brasil S/A,Real,825000.0,17944.002020/2006-61,3100203.0,Deferido,2007-06-18,STN,Sudeste
Abaeté,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,15000000.0,17944.102335/2023-17,3100203.0,Deferido,2023-07-27,STN,Sudeste
Abaíra,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,700000.0,17944.000640/2011-23,2900108.0,Deferido,2011-06-20,STN,Nordeste
Abaíra,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,55000.0,17944.000688/2010-51,2900108.0,Deferido,2010-06-21,STN,Nordeste
Abaíra,BA,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,340000.0,19407.000022/2002-03,2900108.0,Deferido,2002-07-08,STN,Nordeste
Abaíra,BA,Município,Operação Contratual Interna,Saneamento básico,Instituição Financeira Nacional,Agência de Fomento do Estado da Bahia S/A,Real,160000.0,19407.000025/2002-39,2900108.0,Deferido,2002-07-29,STN,Nordeste
Abatiá,PR,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco do Brasil S/A,Real,130392.0,19406.000015/2007-18,4100103.0,Deferido,2007-04-09,STN,Sul
Abatiá,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,40000.0,19406.000266/2007-01,4100103.0,Deferido,2007-07-27,STN,Sul
Abatiá,PR,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,515300.0,19406.000278/2007-27,4100103.0,Deferido,2007-07-27,STN,Sul
Abatiá,PR,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,280000.0,17944.000787/2015-47,4100103.0,Deferido,2015-09-14,STN,Sul
Abatiá,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Paraná S/A,Real,1100000.0,17944.000786/2015-01,4100103.0,Deferido,2015-09-14,STN,Sul
Abdon Batista,SC,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1000000.0,17944.000024/2015-04,4200051.0,Deferido,2015-03-30,STN,Sul
Abdon Batista,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,491330.0,17944.000601/2012-15,4200051.0,Deferido,2012-05-29,STN,Sul
Abdon Batista,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1000000.0,17944.000694/2013-51,4200051.0,Deferido,2013-08-09,STN,Sul
Abdon Batista,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,300000.0,19406.000039/2009-39,4200051.0,Deferido,2009-06-29,STN,Sul
Abelardo Luz,SC,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1880000.0,17944.001366/2011-18,4200101.0,Deferido,2011-11-10,STN,Sul
Abelardo Luz,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1700000.0,17944.001391/2011-93,4200101.0,Deferido,2011-11-10,STN,Sul
Abelardo Luz,SC,Município,Operação Contratual Interna,PROUCA,Instituição Financeira Nacional,Caixa Econômica Federal,Real,395787.0,17944.001791/2011-07,4200101.0,Deferido,2012-03-29,STN,Sul
Abelardo Luz,SC,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,628370.0,19406.000041/2008-27,4200101.0,Deferido,2008-03-11,STN,Sul
Abelardo Luz,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1800000.0,19406.000119/2006-41,4200101.0,Deferido,2006-06-30,STN,Sul
Abelardo Luz,SC,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,1400000.0,19406.000134/2009-32,4200101.0,Deferido,2009-11-16,STN,Sul
Abelardo Luz,SC,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1250000.0,19406.000178/2009-62,4200101.0,Deferido,2010-06-30,STN,Sul
Abelardo Luz,SC,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de Santa Catarina S/A,Real,2000000.0,17944.000664/2015-14,4200101.0,Deferido,2015-12-03,STN,Sul
Abre Campo,MG,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,820000.0,17944.000123/2014-05,3100302.0,Deferido,2014-09-25,STN,Sudeste
Abre Campo,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,650000.0,17944.000124/2014-41,3100302.0,Deferido,2014-06-05,STN,Sudeste
Acaiaca,MG,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,714000.0,17944.000789/2011-11,3100401.0,Deferido,2012-01-16,STN,Sudeste
Acaiaca,MG,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,314150.0,17944.000805/2011-67,3100401.0,Deferido,2011-08-15,STN,Sudeste
Açailândia,MA,Município,Operação Contratual Interna,PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias,Instituição Financeira Nacional,Caixa Econômica Federal,Real,19790113.26,17944.001229/2011-75,2100055.0,Deferido,2011-11-25,STN,Nordeste
Açailândia,MA,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Banco do Brasil S/A,Real,30000000.0,17944.000298/2024-86,2100055.0,Deferido,2024-01-30,STN,Nordeste
Acari,RN,Município,Operação Contratual Interna,Caminho da Escola,Instituição Financeira Nacional,Banco do Brasil S/A,Real,366840.0,17944.000855/2012-25,2400109.0,Deferido,2012-06-28,STN,Nordeste
Aceguá,RS,Município,Operação Contratual Interna,"Aquisição de máquinas, equipamentos e veículos",Instituição Financeira Nacional,Banco do Estado do Rio Grande do Sul,Real,300000.0,19406.000018/2002-47,4300034.0,Deferido,2002-05-15,STN,Sul
Aceguá,RS,Município,Operação Contratual Interna,Provias,Instituição Financeira Nacional,Banco do Estado do Rio Grande do Sul,Real,260000.0,19406.000724/2006-12,4300034.0,Deferido,2006-12-22,STN,Sul
Acopiara,CE,Município,Operação Contratual Interna,Caminho da Escola 2010,Instituição Financeira Nacional,Banco do Brasil S/A,Real,881720.0,17944.000747/2012-52,2300309.0,Deferido,2012-06-18,STN,Nordeste
Acopiara,CE,Município,Operação Contratual Interna,Provias 2009,Instituição Financeira Nacional,Banco do Brasil S/A,Real,1100000.0,17944.000893/2009-82,2300309.0,Deferido,2012-05-21,STN,Nordeste
